tweet	sentiment
New Post:  Samsung bestätigt Produktionsbeginn biegsamer OLED-Displays für 2012 ~http 	neutral
Base Lutea oder Samsung Galaxy Ace?  Ich hab die Qual der Wahl. Welches würdet ihr nehmen?	neutral
Jeden Tag ein neues Aktionsangebot - das Kenner-Tagesangebot vom 22. Juli 2011: Das Sony Alpha A390 Set: ~http 	neutral
Hör dir Katy Perry von Firework an! Ich habe den Song gerade mit TrackID™ von Sony Ericsson gefunden.	neutral
Dank @user geht es mir jetzt schon besser *_* &lt;3	positive
Lunett ~http	neutral
Noch Irgendwer; der den Grimm-Stoff aufgreift? Kommt da vllt eine neue Trendwelle? Zurück zu den Märchen; nur etwas aufgehübscht; moderner?	neutral
Dieses Video weitergeben -- Manfred Kriegel; 24 Stunden Hat Der Tag.MPG Fernfahrer - Song ~http  via @user	neutral
Urteil: Samsung darf Galaxy Tab nicht verkaufen ~http  #Apple #ipad #samsung #galaxypad #Patente #Monopol	neutral
zu Hause (:	positive
hab ein sony ericsson satio	neutral
Alle Freunde des Wintersports können sich freuen. Ab Freitag ist auch der Skilift am Pröller-Nordhang in Betrieb.... ~http 	neutral
Hallo Welt !	neutral
Okay der straßenbahnfahrer is besoffen Oo fährt rückwärts mit offen türen ... Hallo?	negative
#24hberlin erst ein bisschen Stream; dann einige Stunden publicviewing; dann Atom Demo; dann wieder pv; und seit 21h am pc - puuuuh	neutral
Frohe Weihnachten alle zusammen. Ich hoffe ihr lasst euch alle gut beschenken. Und habt ein schönes Fest.	positive
"“@JanSchmidt: sagt man eigentlich auch ""untige""; analog zu ""obige""?” kenne nur ""nebig"" - und das ist schon leicht schräg"	neutral
bin im r.l. besoffen; mir doch egal; was mit I.Steeger ist. püh.	neutral
Die @user und ich haben heute einen besonders tollen Platz zum lernen :) mit frechen Enten  ~http 	positive
Schlafen. || Morgen Arbeiten; dann Jule hier ^-^	positive
Videothek zwecks Abk. durch Hintereingang der 18+ Abteilung betreten.Interessant wie viele Rentner da rumhängen.Koronale Trainingsmaßnahme?	neutral
Lapidar beim Köpi Filmaward. Bitte voten und weiter sagen! ~http 	neutral
Caprica ist eine geile Serie! Schauen !	positive
