tweet	relevance	sentiment
@DB_Bahn ja, weil in Wuppertal Bauarbeiten sind, soweit bin ich auch, aber wieso nur am Wochenende und grade jetzt?	true	neutral
@nordschaf theoretisch kannste dir überall im Kölner Stadtbereich was suchen. Mit der KVB + S-Bahn kommt man überall fix hin.	true	positive
Bahn verspätet sich..gleich kommt noch jemand und drückt mir ein riesiges Kreuz in die Hand, das ich rumschleppen muss	true	negative
"RT @KleineHyaene: ""Mama, der bei der Bahn war so inkompetent, hab beim Rausgehen 5mal den Unzufriedenheitsknopf gedrückt!"" Sie ist so punk."	true	negative
@DB_Bahn Wie lang wird das dauern? Ca. ?	true	neutral
Wenn der Typ neben dir in der Bahn original nach Lebkuchen riecht und du unsicher bist: nur Parfum oder lebt er den Traum und schläft darin?	true	neutral
@bodoramelow Sehr schön. Vielen Dank. Und jetzt verdient ein MP3 auf den Plattenspieler legen und dazu ein Glas Sekt aufmachen. #Bahn #GDL	true	neutral
@DB_Bahn Bis Morgen froh. 9:07 im Zug nach Warnemünde.���	true	neutral
"RT @BahnAnsagen: ""So, alle Türblockierer jetzt mal Handy raus und 'Lichtschranke' googeln!"" (@strasso83) #Bahn #Ansage"	true	neutral
#Funklöcher der #Bahn: Regierung gibt Probleme beim #Zugnotruf zu https://t.co/WAiasrmcRm	true	negative
@StarWarsDE Man sollte meinen der #ForceFriday sei von der # Bahn organisiert worden. Aus irgendeinem Grund ist der hier erst am Samstag...	true	neutral
"RT @BahnAnsagen: ""Können Sie mal bitte ihre Köpfe und Füße aus den Türen nehmen? Dann kann der Onkel weiterfahren!"" (@KRTplus) #Bahn #Ansage"	true	neutral
Bahn Nr. 1 ist ausgefallen. Nr. 2 kurz vorm Bahnhof stehen geblieben. Bus fast verpasst. Sprint hingelegt. Bus in letzter Sekunde bekommen.	true	negative
@DB_Bahn Danke. Wenn Ausfall des Halts in Essen gilt mein Ticket dann im NV vom Ausstiegsbahnhof Gelsenkirchen bzw. Dortmund bis Essen?	true	negative
RT @afrinazeeniss: Barbie eh ��	false	neutral
RT @GerhardDeimek: Wie ist das mit der Bahn als Schlepper? #sonderzügebeschlagnahme https://t.co/sYWHPHwJyu @unsereOEBB	true	neutral
RT @WERKSTATTATLAS: Glacier Express: Von den Schienen in den Eiskanal https://t.co/tuMl3qPf8G #Verkehr #Bahn #News	true	neutral
@ZypMT01 @DB_Bahn scheinen doch größer Probleme zu sein, gerade alle raus die in Richtung DUS wollen	true	negative
Einigung bei der Bahn: Lokführer beenden ihren Streik. Matthias #Platzeck und @bodoramelow sollen Lösung suchen. http://t.co/eyuNTmta1r	true	positive
"RT @juzudemdy: ""Ich werde ein neuer Mensch."" 2016 sehe ich aus wie Cara, heirate Obama & kämpfe für Beinfreiheit in Bus & Bahn. https://t.…"	true	neutral
Auf Bahn Arten und weiter schreiben.. https://t.co/IkRW7SEPNl	true	neutral
@DB_Bahn nein, ich habe mich an dem sehr gut verstecken Aushang informiert und dann Ihre Kollegen auf den SEV hingewiesen	true	negative
Seit zehn Jahren fordert ein Schwaaner von der #Bahn eine bessere Anbindung an #Rostock und #Berlin. https://t.co/htJVdR4aKZ	true	negative
Mit dem Fahrrad unterwegs in der Bahn: Manchmal wird es sehr eng https://t.co/qI8t9fLbs4	true	negative
"bei uns hat es gerade geschneit. oder wie es die bahn sagen würde: ""Eine unvorhersehbare Klimakatastrophe"""	true	neutral
RT @HuffPostDE: Die Deutsche Bahn will nicht, dass ihr diesen Ticket-Trick kennt https://t.co/p5WEGAIvSz	true	neutral
[S-Bahn M] 2. Akt. S 6 #Tutzing: #Technische #Störung an der Strecke / S-Bahnen auf #Regelweg (Stand +++ http://t.co/y9rF5BRAiD	true	negative
@bergiart Deutsche Bahn?	true	neutral
RT @NickVan86: Dafür bist du zuverlässiger als die Bahn https://t.co/xpT9nullOE	true	negative
Liebe @DB_Bahn habe im genannten Zeitraum eine Buchung MUC-HH und zurück. Fahren die Züge oder nicht? Bitte um FB https://t.co/04epcSFSk5	true	neutral
Bald bei @ThePrimus	false	neutral
RT @astefanowitsch: . @DB_Bahn Könnten Vorgesetzte von Herrn/Frau „/ki“ sich hierzu bitte äußern? Mfg, ein langjähriger BC100-Kunde. https:…	true	neutral
#Bahn sagt mehr Service und Zuverlässigkeit durch Digitalisierung zu: Sensorien melden Weichenstörungen bald vorab https://t.co/w9Ndsz3mwJ	true	neutral
Gut, dass mein Auto nicht von der Bahn betrieben wird. Da geht die Klimaanlage drin ^^	true	negative
Ich scheiß mich weg Hier ist gerade eine Frau gegen ne Scheibe an der Bahn gerannt, aber sie ist aufgestanden und weiter gelaufen	true	neutral
9:00 Uhr - störungsfrei zu Halloween: Wenn man täglich Bahn und Bus fährt, ist Halloween auch nur ein Tag wie jeder andere auch ;) /sr	true	positive
@svhennig Genau, es kann dahingehend noch Neuigkeiten geben: http://t.co/25MagsdDJW /da	false	neutral
DB Navigator: Komplett überarbeitete Version für iOS und Android veröffentlicht: Ab Android 2.3 und iOS 7 Seit... http://t.co/hLyPwuVpJh	true	positive
@DB_Bahn einander, weil sie im Ruhebereich sitzen. Ist das für sie erlaubt? (2/2)	true	neutral
@Superheldentyp Entweder in Ihrem Kundenaccount auf bahn.de oder über den BahnCard-Service. /ki	true	neutral
RT @DB_Bahn: @UWAP_DE Deine E-Mail ist angekommen. Wir werden uns in den nächsten Tagen dazu zurückmelden. PS: Wir benötigen noch deinen Kl…	true	neutral
@jonicious @DB_Bahn Nimm die 25er. Dann schaut man automatisch mehr nach Sparpreisen und spart so Geld.	true	neutral
