ID,Stance
"Gauland: Vogelschiss-Satz war ""unklug"" - via GMX https://t.co/3JwSI5ksVv",neither
,positive
Lieber Neuland als Gauland.#AfD #URUPOR,negative
"@SophieLongw @KrahMax Vom Bundestagsstammtisch der #AfD haben nur 2 Stammtischler Herrn Dr. Gauland widersprochen.Es bleiben also noch weit mehr als 80 Funktionsträger der Braunblauen, die sich in Talkshows als npd-affin outen können. ;)",negative
"Ich habe ein Video zu einer @YouTube-Playlist hinzugefügt: https://t.co/QPMaBh0UzX AfD Pressekonferenz mit Dr. Gauland, Dr. Baumann,",neither
"Es ist wie in der Endphase der DDR. Alexander Gauland: ""Merkel ist wie Honecker"" https://t.co/XAstwtNSRQ via @YouTube",positive
"ahhh, da war wieder der #rassismus: fremde sind grundsätzlich kriminell. glückwunsch #gauland, so spaltet man eine gesellschaft. #afd #noafd #bundestag",negative
,positive
Regierung mit Dachschaden und Kanzler-Fehlbesetzung! Dr. Gauland (AfD) *... https://t.co/Fl1xYVgSS8 via @YouTube,positive
Danke Dr. #Gauland (#AfD) für diese notwendige Klarstellung. https://t.co/e96QPOwAGj,positive
Am Potsdamer See: Kleidung von #Gauland beim Baden gestohlen https://t.co/QT1gmXKiJ0 via @faznet #AfDwirkt Ha Ha,negative
,positive
,negative
,positive
"#afdbpt Gauland hat bei seiner Eröffnungsrede den (SED/DDR/89-Honecker - 🇩🇪Merkel) Vergleich bemüht!Unterschlägt aber, dass seine ""Sachsen AfD🇩🇪Verteidiger"" einen deftigen SED Hintergrund haben!Ausgerechnet diese *🙇 des Tal der Unwissenden* sind nun die Verteidiger🇩🇪?🤓 https://t.co/8JXgjdcodY",negative
"Jetzt live AfD Pressekonferenz mit Dr. Gauland, Dr. Baumann, Beatrix von Storch, Dr. Gottfried Curio und Jürgen Braun (19.06.2018)https://t.co/FBgqLYNG6W https://t.co/FBgqLYNG6W",neither
"AfD solle doch bitte mal ihren zynischen Spruch Herr Dr. Gauland:                    ""die DÜMMSTEN Kälber                suchen sich ihre MÖRDER SELBER!""auf einfach verständlicher Sprache interpretieren!Kommentar erspare ich mir.",negative
@politicalbeauty Als MdB ist Gauland Teil des Systems...wer erklärt ihm das in einfachen Worten (damit er es auch versteht)?,negative
,positive
,positive
AfD CDU Freimaurer? Machtwechsel Deutschland Rotary Gauland Merkel blaue... https://t.co/845iPxFhXd via @YouTube,neither
"@NicoleHerder Höcke, Gauland, Poggenburg...Die Kenntnisse der AfD über das Naziregime dürften wohl schon  legendär sein...",negative
"https://t.co/dFfNgU0AS6Spitzenrede von Herrn Dr. Gauland zur Eröffnung des Afd Parteitages in Augsburg.  Er bekam stehende Ovationen. . "" Heimat ist Menschenrecht.  Und ebenso hat jeder, dem die Heimat genommen wird,  das Recht,  diese zu verteidigen! ""👍",positive
"#afdbpt18 in #Augsburg ist doch #informativ. Dr. #Gauland erneut klar und verständlich. Und es stimmt, es ist EIN Verdienst der #AfD, dass die Steuerzahler-Finanzierten mal merken, dass sie die Arbeitswelt &amp; Realität längst kaum noch verstehen! #BRD #ARD #Merkel (&amp; ihr Jäger) 🤔",positive
@LahorJakrlin @AfD Die Sache ist diese Doppelmoral : Kipping relativiert Kommunismus... keine Empörung.Gauland... wissen wir ja.Ist beides Scheisse und beide gehören weg von der politischen Bühne aber die einseitige Empörung ist Heuchlerei,negative
@katjakipping @b_riexinger @dieLinke Haben sich @Joerg_Meuthen und Alexander Gauland schon bei Ihnen gemeldet und Ihnen zu ihren Verdiensten für die #AfD gratuliert?Alles andere wäre nach dem heutigen Tag sehr unhöflich von den beiden. 😂,neither
"Gauland vergleicht implizit Merkel mit Hitler. ""Ich hab aber nicht verglichen."" #AfD Bundesparteitag",negative
"Lesenswert! So devot stellen sich @Alice_Weidel, #Gauland und #sonstige #erbärmliche #Lügner von der #AfD patriotischen Journalismus vor. Hoffentlich sorgen die Wähler dafür, dass sie sowas in Zukunft nicht mal mehr in 🇦🇹 bekommt. https://t.co/OOYc6B762U",negative
,negative
Wer macht denn sowas? Das ist mindestens so schlimm wie ein Vogelschiss für #Gauland. Ich distanziere mich ausdrücklich von diesem Strick im Stil seiner Krawatte. #fcafd #afd https://t.co/N0BNuB8KUN,negative
,positive
Der AfD-Grandseigneur #Gauland hält eine hervorragende Einführungsrede auf dem 9.#BPT der #AfD. #Demokratiefest https://t.co/T3JgbcD4Bt,positive
"54 Strafzettel in 6 Monaten! #Gauland scheint wohl gleicher zu sein, als seine Wähler!#Idiotentest #AfD",negative
,positive
Ich mag das @YouTube-Video: https://t.co/7NdpeT9LsA Dr. Gauland AfD hat recht. Wir Deutschen lassen uns nicht auf 12 Jahre,positive
,positive
#Braunland #AfD #WDR #Gauland #Plasberg #NoH8Plasberg will Gauland nicht mehr dabei haben... https://t.co/HbezAoFTXr,negative
"PK der AfD mit Dr. Weidel, Dr. Gauland, T. Peterka und Dr. Kraft zum Asy... https://t.co/7zoLBwPDvb via @YouTube",neither
"Die Diebstahl-Aktion gegen Dr. #Gauland ist das Hinterletzte und belegt, wie rasant die Hemmschwelle für politische Straftaten sinkt. Wer sich so fanatisieren lässt, wäre auch in den 1930er Jahren in vorderster Reihe mitmarschiert. #AfD #Badespaß➡️https://t.co/4I5Sbbbfc2 https://t.co/6aoqVaYgTt",positive
".Die 12 Jahre waren kein ""Vogelschiss"" Herr Dr. #Gauland.#AfD https://t.co/xFmQnF6CdW",negative
"@Preistaube @robert_farle ""Und da hat mein Freund Dr. Gauland 100-prozentig Recht – solche Menschen müssen wir selbstverständlich entsorgen""Petr Bystron, MdB",negative
,negative
"▶️ AfD: Gauland sieht sich nach ""Vogelschiss""-Äußerung missverstanden: https://t.co/wMXDQwZCpY qua @YouTube",neither
,neither
“In dieser Regierung liegt ein Dachschaden vor!” ► AfD – Dr. Alexander Gauland https://t.co/GCqvmT9bZC https://t.co/RfLZKIOEWE,positive
"@KnooshoodKnorke Es wäre schön, wenn sie Alexander Gauland diesen Spruch bei Gelegenheit auf sein Badehandtuch sticken könnten ...",negative
"@Ralf_Stegner Herr Dr. Gauland ist ein belesener Mann mit Weitblick, eloquent und gelassen. Reiben Sie sich ruhig an ihm mit ihren abgedroschenen Parolen. Der Hetzer sind eindeutig Sie! Sie waren und sind aber auch einer unserer besten Wahlkämpfer! Ein ""Sympathieträger"" erster Güte! 😉",positive
,negative
Gauland: Bundespräsident sollte nicht ausgrenzen https://t.co/AgUoVGQp0j,neither
"Der Sender @DasErste verwendet den rechten Propagandabegriff ""Political corectness"" um Alexander Gauland vor einer vermeintlichen Beleidigung in Schutz zu nehmen. https://t.co/BUF2fZd9Z7",negative
"Wofür eigentlich noch einen ""Idiotentest"" beim Gauland? Das ist doch schon lange erwiesen! :D :D :D Ach ja: Merkel ist Schuld! :D :D :D#AFD #Gauland https://t.co/ZucxORU2tz",negative
"Der Co-Vorsitzende der AfD, Dr. Gauland, mit einer fulminanten Abrechnung  mit der Politik der Frau Merkel.Sehens- und hörenswert. https://t.co/qTH1hyoXmV",positive
Wenn rechtspopulistische Nazis ihre Gegner mit Hitler vergleichen. #afd #noafd #Gauland #verkehrteWelt https://t.co/qVmX46ePWy,negative
"AfD Pressekonferenz mit Dr. Gauland, Dr. Baumann, Von Storch, Dr. Curio ... https://t.co/xudJ4CFn2A via @YouTube",neither
"@buerger18 @MichaelB2861 @ZDFheute Petry &amp; Pretzell sind draußen, Poggenburg &amp; Höcke noch drin,  Gauland &amp; Weidel fallen durch rechtsextreme Positionen auf. Ich verstehe Hr. Reil, kann auch noch nachvollziehen, dass Leute ihn wählen. Aber sie wählen ja eben nicht nur ihn, sie wählen die AfD &amp; deren Führung.",negative
,negative
"Die ARD-Sendung #hartaberfair wird Alexander #Gauland nicht mehr einladen. ""Wer die Verbrechen des Nationalsozialismus relativiert, kann kein Gast bei ,hart aber fair‘ sein"", sagt Frank Plasberg.https://t.co/OQ913s5GzH",negative
