Wort
Absetzung für Abnutzung
Aufhebung einer Verbindung
Vernebelung der Gehirn
haben keine Ahnung
nicht vom Fach
Welle der Empörung
keine groß Geschichte
keine groß Sache
nichts sagend Redensart
Klotz am Bein
Schlag ins Gesicht
Beschneidung weiblich Genitalien
Verstümmelung weiblich Genitalien
Griff ins Klo
nicht mehr benutzbar
in Mitleidenschaft ziehen
arm im Geist
Hin und Her
drunter und drüber
kreuz und quer
Schlag ins Kontor
fallen der Kurs
weiter gehts nicht
Geißel der Menschheit
auf keinen Fall
nicht im Entferntesten
nicht im gering
sein wohl nix
Vorspiegelung falsch Tatsache
stark negativ Wirtschaftswachstum
Vortäuschung falsch Tatsache
nicht verfügen über
mit Gift versetzen
Trägheit des Herzen
haben mehr erwarten
sein nicht tun
nicht in Ordnung
Hohn und Spott
Mangel an Nahrungsmittel
Reich der Tote
Arsch mit Ohr
Aufblähung der Geldmenge
Haussegen hängen schief
militärisch ausgetragen Konflikt
brennen der Baum
brennen die Hütte
Holland in Not
Matthäi am letzter
Mensch mit Behinderung
Person mit Behinderung
nicht das mindester
Beleidigung fürs Auge
in Zweifel ziehen
kaum glauben können
nicht Recht glauben
nicht trauen können
Donner und Doria
Himmel Herrgott Sakra
Teufel noch eins
verdammen noch mal
verdammen und zunähen
verflixt und zugenäht
verfluchen noch mal
zum Teufel nochmal
Kehrseite der Medaille
Närrinnen und Narrhalesen
nicht besonders hell
nicht gerade hell
Stroh im Kopf
dumm wie Bohnenstroh
dumm wie Brot
nicht bei Trost
nicht ganz dicht
dumm wie Schifferscheiße
schwarz Peter haben
Ironie des Schicksal
so ein Pech
nur blöd dass
nur dumm dass
zu blöd dass
für Ärger sorgen
nicht verlassen können
einen Schaden zufügen
ein Leid tun
eine Bauchlandung hinlegen
einen Misserfolg erleiden
eine Bruchlandung hinlegen
eine Bruchlandung machen
nicht zustande kommen
nach hinten losgehen
Hürde nicht überwinden
zum Verhängnis werden
Feld der Ehre
nach unten erweitern
aus Holz schnitzen
überdruss Ablehnung hervorrufen
Sand im Getriebe
in Aufruhr versetzen
in Unruhe versetzen
hart körperlich Arbeit
stop and go
das zeitlich segnen
letzter Atemzug tun
Reihe lichten sich
schlagen die Stunde
ins Grab sinken
sein Leben aushauchen
sein Geist aushauchen
den Geist aufgeben
ins Gras beißen
letzter Fahrt antreten
sein Geist aufgeben
die Hufe hochreißen
Panhas am Schwenkmast
Arsch vom Dienst
Ausgeburt des Böse
Ausgeburt des Teufel
Zusammentreffen ungünstig Umstand
erzählen mir nichts
Red keinen Unsinn
Anordnung zu unterlassen
Anweisung zu unterlassen
die Kraft verlieren
nicht mehr können
am Ende sein
für unzulässig erklären
einen Wunsch abschlagen
ich sein sprachlos
Arsch der Welt
Vergeudung von Lebenszeit
an Kraft verlieren
die Notbremse ziehen
die Reißleine ziehen
nicht mehr gehen
den Staffelstab weitergeben
sein Hut nehmen
die Düse machen
vom Acker machen
in Haft nehmen
längst vergessen glauben
nicht mehr ansagen
wie ein Penner
zu Ende gehen
zur Neige gehen
zu Ende sein
ablehnend gegenüber stehen
die Zustimmung versagen
mit Verachtung strafen
Nein sagen zu
wenig aufgeschlossen zeigen
wenig Verständnis haben
abschlägig Bescheid erteilen
eine Abfuhr erteilen
nicht eingehen auf
einen Korb geben
kalt auflaufen lassen
zur Hölle schicken
von sich weisen
Antwort sein nein
nichts wissen wollen
nicht gut finden
nichts abgewinnen können
wenig Sympathie zeigen
an Gewicht verlieren
dem Erdboden gleichmachen
nicht fortsetzen werden
zum Erliegen kommen
zum Stillstand kommen
im Gefängnis sein
im Gefängnis stecken
jeden Halt verlieren
vom Himmel holen
den Laufpass geben
den schneiden abkaufen
den schneiden nehmen
ins Bockshorn jagen
als Verlust verbuchen
Aufgeben zu suchen
aufhören zu suchen
nicht weiter suchen
an Boden verlieren
in Rückstand geraten
ins Hintertreffen geraten
nicht Schritt halten
nicht durchgehen lassen
sein Grenze aufzeigen
am Zutritt hindern
in Misskredit bringen
vom Sockel stoßen
im Wert herabsetzen
im Wert mindern
zur Schnecke machen
Hass haben auf
einen Hals haben
in heilig Zorn
für Unruhe sorgen
in Alarmstimmung versetzen
in angetrunkenem Zustand
alt und grau
nicht mehr tragen
nicht mehr zeitgemäß
der Vergangenheit angehören
aus der Mode
haben sich erledigen
nicht mehr aktuell
Wald und Wiese
mit zweifach Bedeutung
in sich uneins
in sich widersprüchlich
in atemlos Spannung
zur Last legen
unter der Gürtellinie
Müllhaufen der Geschichte
in Brand setzen
keine Arbeit haben
nicht gut dastehen
ohne das nötig
mit Luft füllen
groß Rede schwingen
