0
für die Tonne
Absetzung für Abnutzung
Aufhebung einer Verbindung
auf und ab
Vernebelung der Gehirn
haben keine Ahnung
nicht vom Fach
schnappen sie euch
Vertreter der Anklage
schnappen sie euch
Wut im Bauch
ganz groß Bahnhof
Haupt und Staatsaktion
Sturm im Wasserglas
der heiß scheißen
Aufstand der Masse
ganz groß Bahnhof
Haupt und Staatsaktion
Sturm im Wasserglas
Welle der Empörung
Aufstand der Masse
keine groß Geschichte
keine groß Sache
Sturm im Wasserglas
nichts sagend Redensart
Klotz am Bein
Schlag ins Gesicht
Beschneidung weiblich Genitalien
Verstümmelung weiblich Genitalien
Griff ins Klo
Satz mit x
Schlag ins Wasser
nicht mehr benutzbar
in Mitleidenschaft ziehen
arm im Geist
neben sich stehen
Hin und Her
drunter und drüber
kreuz und quer
treffen der Schlag
von den Socke
durch den Wind
kreuz und quer
arm im Geist
Schlag ins Kontor
fallen der Kurs
Wut im Bauch
genug sein genug
aus die Maus
Ende aus Mickymaus
Ende aus Nikolaus
Ende der Durchsage
Ende im Gelände
Ende und aus
jetzt sein   sense
Punkt aus Ende
Schluß aus Ende
Schluß mit lustig
weiter gehts nicht
Schlag ins Kontor
Schlag ins Kontor
Geißel der Menschheit
Schlag ins Gesicht
Schlag ins Kontor
auf keinen Fall
nicht im Entferntesten
nicht im gering
Satz mit x
sein wohl nix
Griff ins Klo
Griff ins Klo
Vorspiegelung falsch Tatsache
stark negativ Wirtschaftswachstum
nicht zu fassen
jeder Beschreibung spotten
spotten jeder Beschreibung
also so etwas
kaum zu fassen
Vorspiegelung falsch Tatsache
Vortäuschung falsch Tatsache
nicht verfügen über
mit Gift versetzen
Trägheit des Herzen
haben mehr erwarten
sein nicht tun
nicht in Ordnung
Hohn und Spott
Lust auf Essen
Mangel an Nahrungsmittel
der heiß scheißen
ganz groß Bahnhof
Haupt und Staatsaktion
Sturm im Wasserglas
Trägheit des Herzen
Reich der Tote
Arsch mit Ohr
arm im Geist
Aufblähung der Geldmenge
Wut im Bauch
Vorspiegelung falsch Tatsache
Vortäuschung falsch Tatsache
nichts sagend Redensart
Haussegen hängen schief
militärisch ausgetragen Konflikt
brennen der Baum
brennen die Hütte
Holland in Not
Matthäi am letzter
Schlag ins Gesicht
Mensch mit Behinderung
Person mit Behinderung
Trägheit des Herzen
Vielfalt an Variante
nicht das mindester
nicht das mindester
Beleidigung fürs Auge
Vernebelung der Gehirn
Vorspiegelung falsch Tatsache
Griff ins Klo
in Frage stellen
in Zweifel ziehen
kaum glauben können
kaum glauben können
nicht   Recht glauben
nicht trauen können
Donner und Doria
Himmel Herrgott Sakra
Teufel noch eins
verdammen noch mal
verdammen und zunähen
verflixt und zugenäht
verfluchen noch mal
zum Teufel nochmal
Quatsch mit Soße
für die Tonne
Kehrseite der Medaille
Närrinnen und Narrhalesen
arm im Geist
Griff ins Klo
Satz mit x
Schlag ins Wasser
brennen der Baum
brennen die Hütte
Holland in Not
Matthäi am letzter
Griff ins Klo
nicht besonders hell
nicht gerade hell
Stroh im Kopf
dumm wie Bohnenstroh
dumm wie Brot
nicht   bei Trost
nicht ganz dicht
dumm wie Schifferscheiße
schwarz Peter haben
Ironie des Schicksal
so ein Pech
nur blöd dass
nur dumm dass
zu blöd dass
Geißel der Menschheit
Griff ins Klo
Satz mit x
Schlag ins Wasser
fallen der Kurs
für Ärger sorgen
Vernebelung der Gehirn
nicht verlassen können
Aufstand der Masse
Griff ins Klo
Satz mit x
Schlag ins Wasser
stark negativ Wirtschaftswachstum
einen Schaden zufügen
ein Leid tun
eine Bauchlandung hinlegen
einen Misserfolg erleiden
eine Bruchlandung hinlegen
eine Bruchlandung machen
nicht zustande kommen
nach hinten losgehen
Hürde   nicht überwinden
zum Verhängnis werden
Griff ins Klo
Satz mit x
Schlag ins Wasser
Feld der Ehre
nach unten erweitern
aus   Holz schnitzen
überdruss   Ablehnung hervorrufen
Sand im Getriebe
in Aufruhr versetzen
in Unruhe versetzen
für die Tonne
zuschulden kommen lassen
hart körperlich Arbeit
Schutz und Schirm
Hohn und Spott
stop and go
das zeitlich segnen
letzter Atemzug tun
Reihe lichten sich
schlagen die Stunde
von uns gehen
ins Grab sinken
sein Leben aushauchen
sein Geist aushauchen
den Geist aufgeben
ins Gras beißen
letzter Fahrt antreten
sein Geist aufgeben
die Hufe hochreißen
hart körperlich Arbeit
Haussegen hängen schief
Haussegen hängen schief
Panhas am Schwenkmast
Arsch vom Dienst
Ausgeburt des Böse
Ausgeburt des Teufel
Aufblähung der Geldmenge
Aufblähung der Geldmenge
Jux und Dollerei
Aufhebung einer Verbindung
grau in grau
grau in grau
auf und ab
Vernebelung der Gehirn
Quatsch mit Soße
schwarz Peter haben
Zusammentreffen   ungünstig Umstand
Haussegen hängen schief
Hin und Her
Aufstand der Masse
Quatsch mit Soße
erzählen mir nichts
Quatsch mit Soße
Red keinen Unsinn
auf und ab
nicht zu fassen
jeder Beschreibung spotten
spotten jeder Beschreibung
also so etwas
kaum zu fassen
Anordnung   zu unterlassen
Anweisung   zu unterlassen
Schlag ins Gesicht
eine Bauchlandung hinlegen
die Kraft verlieren
nicht mehr   können
am Ende sein
Griff ins Klo
Satz mit x
Schlag ins Wasser
Hürde   nicht überwinden
zum Verhängnis werden
für unzulässig erklären
einen Wunsch abschlagen
ich sein sprachlos
ganz groß Klasse
von außerordentlich Qualität
zum Sterben schön
ganz groß Kino
nicht zu fassen
nicht zu toppen
Wucht in Tüte
Ei der Daus
Holla die Waldfee
ich werden verrückt
lecken mich fett
Mann Mann Mann
mein lieb Scholli
mein lieber schwanen
nicht zu fassen
nicht zu glauben
Schau mal   an
sehen mal   an
Sowas aber auch
ach du schrecken
auch das noch
da Schau her
du lieber Himmel
sein nicht wahr
mein lieb Mann
Nein so etwas
Nein so was
nicht zu fassen
nicht zu glauben
oh là là
schrecken lassen nach
Ach Du Scheiße
Held vom Erdbeerfeld
contradictio in adjecto
Wut im Bauch
Arsch der Welt
Vergeudung von Lebenszeit
Wut im Bauch
nicht zu fassen
jeder Beschreibung spotten
spotten jeder Beschreibung
also so etwas
kaum zu fassen
an Kraft verlieren
die Kraft verlieren
nicht mehr   können
am Ende sein
die Notbremse ziehen
die Reißleine ziehen
nicht mehr   gehen
aufhören zu kämpfen
nicht weiter versuchen
den Staffelstab weitergeben
sein Hut nehmen
die Düse machen
vom Acker machen
sich unbemerkt verabschieden
von Dannen machen
plötzlich weg sein
von oben herab
in Haft nehmen
längst vergessen glauben
nicht mehr ansagen
Schnee von gestern
kennen man schon
man kennen das
Witz mit   Bart
wie ein Penner
am tropfen hängen
ins Land gehen
ins Land ziehen
im Gang sein
sein Lauf nehmen
sein Verlauf nehmen
ein   Ende finden
zu Ende gehen
zur Neige gehen
zu Ende sein
ablehnend gegenüber stehen
die Zustimmung versagen
gegen etwas sein
mit Verachtung strafen
Nein sagen zu
Position beziehen gegen
Stellung beziehen gegen
wenig aufgeschlossen zeigen
wenig Verständnis haben
abschlägig Bescheid erteilen
eine Abfuhr erteilen
nicht eingehen auf
