tweet_id,date,username,tweet,source,retweet_count,user_location,user_place,coordinates
1346207661981900802,04-01-2021,einandererblog,"Ich erwarte am Mittwoch einen stichhaltigen Nachweis einer anhaltenden „epidemischen Lage“ im Sinne von mehr Erkrankungen und Todesfällen im Vergleich zu Vorjahren.Wird der neue Lockdown ohne diese Voraussetzung verhängt, erwarte ich das Eingreifen der Staatsanwälte. ES REICHT.",Twitter for iPhone,0,Germany,,
1346207602456350720,04-01-2021,hwh42de,"Lauterbachs spielt nur eine Platte,harter Lockdown. #hartaberfair",Twitter Web App,0,germany,,
1346207559816982531,04-01-2021,Sognolasperanza,"""Wer Covid hatte, muss um die Zusatzversicherung bangen. Einige Krankenversicherer machen den Abschluss von der Dauer und Schwere einer Erkrankung abhängig""Dänn isch #longcovid garament doch keis Hirngespinscht?@RuthHumbel @NatalieRickli @alain_berset https://t.co/heUMPXv1QU",Twitter for Android,0,,,
1346207533216768007,04-01-2021,Solid_Snail,500 Personen in ganz Frankreich? Das ist wirklich der Horror. #Corona #CoronaVirus #Impfstoff https://t.co/08lNkXSKYk,Twitter for iPhone,0,Four Seasons Total Landscaping,,
1346207526694641666,04-01-2021,FlugschuleE,"Tscha, wird das auch bei uns kommen ab dem 11.01 🤔https://t.co/HzPM0cSmLE",Twitter Web App,0,,,
1346207508340338688,04-01-2021,euronewsde,"Ihre Biergläser brauchen sie im Moment nicht, da haben Gastronomen diese zum Protest gegen die Corona-Einschränkungen genutzt. #Prag #Tschechien https://t.co/MQWknjEVtt",Echobox,0,Europe,,
1346207484697051142,04-01-2021,truthonahill,"Es sind ziemlich dunkle Tage gerade, mit vielen sorgenbehafteten Baustellen.Aber ich habe heute den ersten gegen COVID-19 geimpften Menschen getroffen!Ein Fünkchen Hoffnung ins Herz.",Twitter for iPad,0,,,
1346207417240059904,04-01-2021,markda1989,"Was mich besorgt, ist, dass der Großteil der Menschen nicht hinterfragt.""Es gibt Tote? Es gibt Kranke?Naja, die Maßnahmen werden ja schon richtig sein.""Das finde ich schlimmer, als das Virus und die Maßnahmen.#COVID19 #coronavirus #lockdown",Twitter for Android,0,,,
1346207400282492930,04-01-2021,singewald,"""Polizei in Nordrhein-Westfalen warnt vor Betrug mit angeblichen Corona-Impfungen!""Vor Corona Impfungen muss man generell warnen !! https://t.co/pPqPoK2032 via @China_Welt_News",Twitter for Android,0,Berlin,,
1346207393508716545,04-01-2021,graveljensi,"+++ Breaking News +++ Lauterbach geht fremd, Lauterbach heute nicht beim #Lanz #hartaberfair #Corona #Coronavirus https://t.co/X326IppAQP",Tweetbot for iΟS,0,East Part of Lower Saxony,,
1346207392183316488,04-01-2021,MDRAktuell,Neuer Lockdown für England verhängt. Briten sollen ihr Zuhause voraussichtlich bis Mitte Februar nur für notwendige Aktivitäten verlassen. Schulen geschlossen.,TweetDeck,1,"Halle (Saale), Deutschland",,
1346207375032807426,04-01-2021,vodkaeistee,"Influencer ✨ Leute, alle mit einem blauen Haken oder mehrern tausend Followern sind immunen gegen #Corona. Was ist eine #Pandemie? https://t.co/f1eJjPD47j",Twitter for iPhone,0,he/him,,
1346207360981852166,04-01-2021,der_Brueck,"Gesundheitspolitiker @Karl_Lauterbach: „Wäre Moderna beispielsweise ein französischer Impfstoff, hätten wir sicher noch mehr bestellt.“ Zudem sei die EU mit zu wenig Geld in die Verhandlungen gegangen. - Es ging also um Geld und nationale Interessen. #vaccinations #COVID19",Twitter for iPhone,0,Unterwegs,,
1346207359685816322,04-01-2021,Kruemmelmonster,"Nette Korrektur vom @tagesanzeiger https://t.co/XRBxPuHe6HAber zu spät - Ihr müsst die Politiker im Artikel drin direkt korrigieren, in grosser roter Schrift. Oder noch besser: Während dem Interview.",Twitter Web App,0,Switzerland,,
1346207341096677378,04-01-2021,peter_seelig,Kein #Impfplan und fehlende Logistik verhindern Impfungen dank der Inkompetenz und Fahrlässigkeit von #türkisgrün!@rudi_anschober @sebastiankurz #österreich #corona #impfung. https://t.co/ryJTGr7OMc,Twitter for iPhone,0,Vienna (Austria),,
1346207326747951104,04-01-2021,meertext,"Eigentlich gäbe es gerade noch mehr zu tun, als #Corona-Kram....#KlimakriseISTjetzt https://t.co/9foRQOnJGA",Twitter Web App,0,,,
1346207288323960836,04-01-2021,DasRoteSignal,"Vorsicht vor #Covidiots, #Querdenken und ihrer rechten/rechtsoffenen Fanbase! #Coronazis #COVID19 https://t.co/CM48LrZar4",Twitter for Android,0,"Baden-Württemberg, Deutschland",,
1346207200155496448,04-01-2021,R_Engehausen,"Bisher wurden in bayerischen Krankenhäusern 11.000 Beschäftige in Hochrisiko-Bereichen (Intensiv, Notaufnahmen) in eigener Verantwortung geimpft. Mit guten Erfahrungen + hoher Impfbereitschaft.Bald mehr COVID-19-Impfstoff für Deutschland + die Kliniken wäre dringend wichtig.",Twitter for iPhone,0,"München, Bayern",,
1346207184301023241,04-01-2021,Dylan255653,"#hartaberfair:Eins stellt sich doch jetzt schon raus bei Hartaberfair,ein Totalversagen von Merkel u.Spahn,der sich als GM nicht durchsetzen konnte.Andere Länder impfen,wir werden Lockdown bis weit in 2021 machen u.viele Tote zu beklagen haben.Merkel hat wieder versagt.",Twitter Web App,0,,,
1346207153204449280,04-01-2021,HansArsenovic,"Sehe das auch so: Lockdown bis 7-Tage Inzidenz unter 50! Das würde von heute an ca 3 Wochen dauern, wenn wir eine Reproduktionszahl von 0,8 halten... #zib2",Twitter for iPhone,0,"Wien, Wien, Österreich",,
1346207147722477574,04-01-2021,Aenigmea,"Egal ob ministerpräsidentelle Egoismen bzgl. der #Corona​maßnahmen oder heilloser Flickenteppich bei der Organisation der #Impfung​en -wäre es nicht sinnvoll, den #Föderalismus ganz weit hintanzustellen, wenn es um GESAMTdeutsche Herausforderungen wie die #Pandemie geht?",Twitter for Android,0,"Hessen, Deutschland",,
1346207140168540161,04-01-2021,_FireSoldier_,"Dem sollten wir uns anschließen. Eine andere Möglichkeit sehe ich aktuell nicht, die Zahlen auf lange Sicht zu senken.#Lockdown https://t.co/XMmGFBFM3u",Twitter Web App,0,#StayAtHome am Schreibtisch,,
1346207105120940039,04-01-2021,MaximilianSteu8,"Nun gibt es also doch kein Freitesten. Ich finde es sogar recht vernünftig, dass man den Lockdown verlängert, auch wenn es lästig ist, was meint ihr dazu?",Twitter Web App,0,,,
1346207095075573761,04-01-2021,boomersammlung3,"Es ist ALLES dabei: Wie er sie ansimpt (""bist du es 🤣🤣🤣😺"") und abblitzt (""🤣🤣🤣🤣🤣 neee!""), die Facebook Schmunzelkachel (""Hirnspülung""), die Corona Legenden (""Das hat mir jemand bei FB  geschrieben....sie kommt aus Herne"") https://t.co/X2pez64G7P",Twitter Web App,1,,,
1346207069842636801,04-01-2021,DennisP78,"Fakt ist, dass im Sommer alle bzgl Corona auf taube Ohren gestellt haben und die Warner ignoriert wurden, die sagten, dass das im Winter noch böse endet. Lauterbach und Söder wurden auslacht. Jetzt dampft die Sch... und das Geschrei ist groß. #hartaberfair",Twitter Web App,0,Braunschweig,,
1346207042944573441,04-01-2021,cleptomanny,"Man ey, wo bleibt die Impfung?Wie lange dauert das denn noch?Ich will gepickst werden!#coronavirus #Impfstoff #lockdown #COVID19",Twitter for Android,0,Deutschland,,
1346207014058418181,04-01-2021,modnr1970,Dezember 2020 ÖVP Regierung beschließt Lockdown bis 24.01.Jänner 2021ÖVP Wöginger gibt Opposition Schuld dass der Lockdown bis 24.01. dauert.,Twitter for iPad,0,Wien,,
1346206993116237824,04-01-2021,thefaxe,"Allmählich geht er an die Substanz, dieser Lockdown. #durchhalten",Twitter for iPhone,0,,,
1346206982848524288,04-01-2021,MDRAktuell,"EU-Kommission genehmigt deutsche Staatshilfen für den Reisekonzern Tui. Damit ist der Weg frei für ein Corona-Hilfspaket in Höhe von 1,25 Mrd. Euro.",TweetDeck,0,"Halle (Saale), Deutschland",,
1346206961478590473,04-01-2021,SPawlitzki,"Hört auf alles auf alle zu schieben. Lasst Impfstoffe zu, beschleunigt Verfahren und impft die willigen!#COVID19",Twitter for Android,0,Mannheim,,
1346206959263997957,04-01-2021,wi_robert,Wird der Corona Impfstoff nicht i.m verabreicht ? Oder bei Pat.  mit Antikoagulation lieber s.c.? https://t.co/Znl3XYKtk2,Twitter for iPhone,0,,,
1346206866964172802,04-01-2021,Reflektorfalke8,Lockdown. Bester Zeitpunkt um Zuschauern bzw. überforderten Eltern so eine weitere Volksverdummung wie #TrainYourBabyLikeADog zu präsentieren.  Beim großen RTL Spendenmarathon sind dann alle wieder von der großen Ritterlichkeit angetan...Ekelhaft so etwas.,Twitter for Android,0,,,
1346206803256860676,04-01-2021,weserkurier,Nach den Beratungen der Kultusminister über weitere Corona-Maßnahmen an Schulen erwägt #Niedersachsen zum Neustart nach den Ferien verstärkte Einschränkungen für Grundschulen. https://t.co/ZWOb5d1PrN,TweetDeck,0,Bremen | Germany,,
1346206747137077251,04-01-2021,jaeger29,Drehen jetzt alle völlig durch! #impfen #corona @cducsubt @spdde @Markus_Soeder https://t.co/FBLgVspAAf,Twitter for iPhone,1,Wachtberg,,
1346206736416444416,04-01-2021,verathom,"Der Lockdown soll verlängert werden. Bis Ende Februar…Jetzt wisst ihr, warum ein Carnotzet noch wichtiger als ein Atombunker ist.(Ich habe beides nicht.)",Twitter for Android,0,"Bern, Schweiz",,
